"Player_no","PLAYER_BET_NUMBER","BET_PLACED_DATE","OVER_1000_SEK","EVENT_NAME","LEAGUE","BET_OFFER_TYPE","CRITERIA_NAME","IS_LIVE","BET_LABEL","ODDS","BET_OUTCOME"
1,1,2022-07-16 18:05:24,"YES","Djurg?rdens IF - IFK Varnamo","Allsvenskan","Over Under","Total Goals - {0}:00-{1}:59 0.5","Y","Over",1.48,"Bet Won"
1,2,2022-07-16 18:48:01,"YES","Djurg?rdens IF - IFK Varnamo","Allsvenskan","Over Under","Total Goals - {0}:00-{1}:59 0.5","Y","Over",3.25,"Bet Won"
1,3,2022-07-17 16:25:24,"YES","AIK - Kalmar FF","Allsvenskan","Over Under","Total Goals - {0}:00-{1}:59 0.5","Y","Over",3.4,"Bet Lost"
2,1,2022-06-29 20:30:18,"YES","Landskrona BoIS - Halmstads BK","Superettan","Three way 1x2","Full Time","N","Halmstads BK",1.9,"Bet Lost"
2,2,2022-07-13 22:26:13,"YES","Halmstads BK - Utsiktens BK","Superettan","Three way 1x2","Full Time","N","Halmstads BK",1.7,"Bet Won"
3,1,2022-07-16 14:59:41,"YES","IFK Norrkoping - Malmo FF","Allsvenskan","Over Under","Total Goals - 1st Half 0.5","N","Over",1.32,"Bet Won"
4,1,2022-07-17 15:41:00,"YES","Hammarby IF - IF Elfsborg","Allsvenskan","Three way 1x2","Full Time","Y","Hammarby IF",1.32,"Bet Won"
5,1,2022-07-16 14:54:32,"YES","Djurg?rdens IF - IFK Varnamo","Allsvenskan","Three way 1x2","Full Time","N","Djurg?rdens IF",1.42,"Bet Won"
5,2,2022-07-16 22:34:34,"YES","AIK - Kalmar FF","Allsvenskan","Three way 1x2","Full Time","N","AIK",1.87,"Bet Won"
5,3,2022-07-17 13:08:06,"YES","AIK - Kalmar FF","Allsvenskan","Three way 1x2","Full Time","N","AIK",1.8,"Bet Won"
6,1,2022-07-16 14:16:22,"YES","IFK Norrkoping - Malmo FF","Allsvenskan","Three way 1x2","Full Time","N","Malmo FF",2.3,"Bet Won"
7,1,2022-07-17 14:26:40,"YES","IK Sirius FK - Degerfors IF","Allsvenskan","Three way 1x2","Full Time","N","IK Sirius FK",1.83,"Bet Won"
8,1,2022-07-16 10:11:47,"YES","IFK Norrkoping - Malmo FF","Allsvenskan","Three way 1x2","Full Time","N","Malmo FF",2.3,"Bet Won"
8,2,2022-07-16 17:00:44,"YES","Ostersunds FK - Osters IF","Superettan","Three way 1x2","Full Time","Y","Osters IF",1.68,"Bet Lost"
9,1,2022-07-17 10:19:05,"YES","IK Sirius FK - Degerfors IF","Allsvenskan","Three way 1x2","Full Time","N","IK Sirius FK",1.83,"Bet Won"
10,1,2022-07-12 20:34:41,"YES","Landskrona BoIS - Halmstads BK","Superettan","Next Occurrence Number","Next Goal ({0}) (Draw: No More Goals)","Y","Halmstads BK",2.7,"Bet Lost"
11,1,2022-07-12 18:56:46,"YES","Orebro SK - Trelleborgs FF","Superettan","Player Occurrence Line","To score 1","N","Bjorndahl, Erik - Yes",2.8,"Bet Won"
12,1,2022-07-17 15:57:52,"YES","AIK - Kalmar FF","Allsvenskan","Next Occurrence Number","Next Goal ({0}) (Draw: No More Goals)","Y","AIK",2.07,"Bet Lost"
13,1,2022-07-16 12:44:40,"YES","Djurg?rdens IF - IFK Varnamo","Allsvenskan","Three way 1x2","Full Time","N","Djurg?rdens IF",1.4,"Bet Won"
13,2,2022-07-16 17:06:38,"YES","Djurg?rdens IF - IFK Varnamo","Allsvenskan","HT/FT","Half Time/Full Time","N","1/1",1.98,"Bet Won"
14,1,2022-07-12 18:22:08,"YES","Orebro SK - Trelleborgs FF","Superettan","Over Under","Total Goals by Home Team 1.5","N","Over",2.3,"Bet Won"
15,1,2022-07-17 13:14:33,"YES","IK Sirius FK - Degerfors IF","Allsvenskan","Three way 1x2","Full Time","N","IK Sirius FK",1.9,"Bet Won"
16,1,2022-07-16 17:12:13,"YES","Djurg?rdens IF - IFK Varnamo","Allsvenskan","Three way 1x2","Full Time","N","Djurg?rdens IF",1.42,"Bet Won"
17,1,2022-07-17 02:20:34,"YES","IK Sirius FK - Degerfors IF","Allsvenskan","Three way 1x2","Full Time","N","IK Sirius FK",2,"Bet Won"
18,1,2022-07-16 12:48:56,"YES","IFK Norrkoping - Malmo FF","Allsvenskan","Three way 1x2","Full Time","N","Malmo FF",2.2,"Bet Won"
19,1,2022-07-13 16:38:48,"YES","IFK Norrkoping - Malmo FF","Allsvenskan","Three way 1x2","Full Time","N","IFK Norrkoping",3.45,"Bet Lost"
20,1,2022-07-17 13:12:45,"YES","Vaster?s SK FK - Landskrona BoIS","Superettan","Three way 1x2","Half Time","Y","Vaster?s SK FK",2.75,"Bet Won"
20,2,2022-07-17 15:23:47,"YES","AIK - Kalmar FF","Allsvenskan","Three way 1x2","Half Time","Y","AIK",3.55,"Bet Won"
20,3,2022-07-17 15:24:23,"YES","Halmstads BK - Utsiktens BK","Superettan","Three way 1x2","Half Time","Y","Halmstads BK",3.4,"Bet Won"
20,4,2022-07-17 16:09:07,"YES","IK Sirius FK - Degerfors IF","Allsvenskan","Next Occurrence Number","Next Goal ({0}) (Draw: No More Goals)","Y","Degerfors IF",2.95,"Bet Lost"
20,5,2022-07-17 16:13:56,"YES","IFK Goteborg - Mjallby AIF","Allsvenskan","Next Occurrence Number","Next Goal ({0}) (Draw: No More Goals)","Y","Mjallby AIF",2.9,"Bet Won"
20,6,2022-07-17 16:22:06,"YES","AIK - Kalmar FF","Allsvenskan","Next Occurrence Number","Next Goal ({0}) (Draw: No More Goals)","Y","AIK",2.43,"Bet Lost"
21,1,2022-07-17 15:18:39,"YES","Halmstads BK - Utsiktens BK","Superettan","Three way 1x2","Half Time","Y","Halmstads BK",2.7,"Bet Won"
22,1,2022-07-16 10:00:38,"YES","Djurg?rdens IF - IFK Varnamo","Allsvenskan","Three way 1x2","Full Time","N","Djurg?rdens IF",1.43,"Bet Won"
22,2,2022-07-16 17:00:50,"YES","Djurg?rdens IF - IFK Varnamo","Allsvenskan","Three way 1x2","Full Time","N","Djurg?rdens IF",1.42,"Bet Won"
22,3,2022-07-17 12:54:02,"YES","Hammarby IF - IF Elfsborg","Allsvenskan","Two Way Draw No Bet","Draw No Bet","N","Hammarby IF",1.4,"Bet Won"
22,4,2022-07-17 14:15:00,"YES","Hammarby IF - IF Elfsborg","Allsvenskan","Two Way Draw No Bet","Draw No Bet","N","Hammarby IF",1.43,"Bet Won"
23,1,2022-07-16 09:57:06,"YES","Djurg?rdens IF - IFK Varnamo","Allsvenskan","Three Way Handicap","3-Way Handicap -1","N","Djurg?rdens IF",2.08,"Bet Won"
24,1,2022-07-17 15:14:35,"YES","Halmstads BK - Utsiktens BK","Superettan","Next Occurrence Number","Next Goal ({0}) (Draw: No More Goals)","Y","Halmstads BK",1.5,"Bet Won"
25,1,2022-07-16 09:49:53,"YES","Djurg?rdens IF - IFK Varnamo","Allsvenskan","Three Way Handicap","3-Way Handicap -1","N","Djurg?rdens IF",2.08,"Bet Won"
26,1,2022-07-16 16:20:54,"YES","Skovde AIK - IK Brage","Superettan","Asian Over/Under","Asian Total 2","Y","Over",2.3,"Bet Won"
27,1,2022-07-12 09:53:37,"YES","Landskrona BoIS - Halmstads BK","Superettan","Over Under","Total Goals 2.5","N","Over",1.9,"Bet Won"
27,2,2022-07-12 19:31:33,"YES","Landskrona BoIS - Halmstads BK","Superettan","Over Under","Total Corners 10.5","Y","Over",1.76,"Bet Won"
27,3,2022-07-12 19:31:57,"YES","Landskrona BoIS - Halmstads BK","Superettan","Over Under","Total Goals 2.5","Y","Over",1.5,"Bet Won"
27,4,2022-07-16 17:02:59,"YES","Djurg?rdens IF - IFK Varnamo","Allsvenskan","Over Under","Total Goals 2.5","N","Over",1.66,"Bet Won"
27,5,2022-07-17 13:10:16,"YES","Halmstads BK - Utsiktens BK","Superettan","Over Under","Total Corners 10.5","N","Over",1.87,"Bet Won"
27,6,2022-07-17 14:41:11,"YES","Halmstads BK - Utsiktens BK","Superettan","Over Under","Total Goals 2.5","N","Over",1.8,"Bet Won"
28,1,2022-07-17 13:16:04,"YES","Vaster?s SK FK - Landskrona BoIS","Superettan","Occurrence To Happen","Both Teams To Score - 1st Half","Y","No",1.09,"Bet Won"
28,2,2022-07-17 14:04:04,"YES","Vaster?s SK FK - Landskrona BoIS","Superettan","Over Under","Total Goals 1.5","Y","Over",1.11,"Bet Won"
28,3,2022-07-17 14:39:58,"YES","Vaster?s SK FK - Landskrona BoIS","Superettan","Occurrence To Happen","Both Teams To Score","Y","No",1.11,"Bet Won"
28,4,2022-07-17 15:03:16,"YES","AIK - Kalmar FF","Allsvenskan","Over Under","Total Goals - {0}:00-{1}:59 0.5","Y","Under",1.12,"Bet Won"
28,5,2022-07-17 16:03:24,"YES","IK Sirius FK - Degerfors IF","Allsvenskan","Over Under","Total Goals 3.5","Y","Under",1.3,"Bet Won"
29,1,2022-07-12 20:33:37,"YES","Landskrona BoIS - Halmstads BK","Superettan","Double Chance","Double Chance","Y","X2",1.11,"Bet Lost"
29,2,2022-07-16 15:38:03,"YES","Dalkurd FF - Orebro SK","Superettan","Over Under","Total Goals by Away Team 2.5","Y","Over",1.64,"Bet Lost"
29,3,2022-07-16 15:38:03,"YES","Dalkurd FF - Orebro SK","Superettan","Over Under","Total Goals 2.5","Y","Over",1.13,"Bet Lost"
30,1,2022-07-16 17:29:01,"YES","Ostersunds FK - Osters IF","Superettan","Three way 1x2","Full Time","Y","Ostersunds FK",2.23,"Bet Lost"
30,2,2022-07-17 16:09:03,"YES","IK Sirius FK - Degerfors IF","Allsvenskan","Over Under","Total Goals 2.5","Y","Under",1.96,"Bet Won"
31,1,2022-07-17 15:18:04,"YES","Hammarby IF - IF Elfsborg","Allsvenskan","Over Under","Total Goals - 1st Half 1.5","Y","Over",1.49,"Bet Won"
32,1,2022-07-12 11:28:33,"YES","Orebro SK - Trelleborgs FF","Superettan","Double Chance","Double Chance","N","1X",1.42,"Bet Won"
32,2,2022-07-17 14:28:50,"YES","AIK - Kalmar FF","Allsvenskan","Three way 1x2","Full Time","N","AIK",1.92,"Bet Won"
33,1,2022-07-16 15:04:08,"YES","Dalkurd FF - Orebro SK","Superettan","Asian Over/Under","Asian Total 3","Y","Under",1.64,"Bet Won"
33,2,2022-07-16 15:11:32,"YES","Dalkurd FF - Orebro SK","Superettan","Asian Over/Under","Asian Total 3.25","Y","Under",2.14,"Bet Won"
33,3,2022-07-16 16:49:21,"YES","Dalkurd FF - Orebro SK","Superettan","Over Under","Total Goals 2.5","Y","Over",7.5,"Bet Lost"
34,1,2022-07-16 16:34:16,"YES","IFK Norrkoping - Malmo FF","Allsvenskan","Over Under","Total Goals 2.5","Y","Over",1.94,"Bet Lost"
35,1,2022-07-16 17:56:34,"YES","Djurg?rdens IF - IFK Varnamo","Allsvenskan","Over Under","Total Goals by Home Team 1.5","Y","Over",1.17,"Bet Won"
36,1,2022-07-17 07:51:42,"YES","AIK - Kalmar FF","Allsvenskan","Player Occurrence Line","To score at least {0} goals 2","N","Guidetti, John - Yes",10.5,"Bet Lost"
36,2,2022-07-17 07:51:42,"YES","AIK - Kalmar FF","Allsvenskan","Player Occurrence Line","To score at least {0} goals 3","N","Guidetti, John - Yes",51,"Bet Lost"
36,3,2022-07-17 07:51:42,"YES","AIK - Kalmar FF","Allsvenskan","Player Occurrence Line","To score at least {0} goals 4","N","Guidetti, John - Yes",301,"Bet Lost"
37,1,2022-07-16 17:52:17,"YES","Djurg?rdens IF - IFK Varnamo","Allsvenskan","Over Under","Total Corners 8.5","Y","Over",1.3,"Bet Won"
37,2,2022-07-16 18:33:17,"YES","Djurg?rdens IF - IFK Varnamo","Allsvenskan","Over Under","Total Corners 13.5","Y","Over",1.7,"Bet Lost"
38,1,2022-07-16 15:17:17,"YES","IFK Norrkoping - Malmo FF","Allsvenskan","Three way 1x2","Full Time","Y","Malmo FF",1.43,"Bet Won"
39,1,2022-07-16 16:02:48,"YES","IFK Norrkoping - Malmo FF","Allsvenskan","Over Under","Total Corners 15.5","Y","Over",2.65,"Bet Won"
40,1,2022-07-16 15:20:27,"YES","IFK Norrkoping - Malmo FF","Allsvenskan","Two Way Handicap Draw No Bet","Handicap - 1st Half 1.5","Y","Malmo FF",3.75,"Bet Lost"
41,1,2022-07-17 09:22:18,"YES","AIK - Kalmar FF","Allsvenskan","Three way 1x2","Full Time","N","AIK",1.83,"Bet Won"
42,1,2022-07-12 19:57:14,"YES","Landskrona BoIS - Halmstads BK","Superettan","Over Under","Total Corners 13.5","Y","Over",1.93,"Bet Lost"
42,4,2022-07-17 13:07:10,"YES","Vaster?s SK FK - Landskrona BoIS","Superettan","Three way 1x2","Full Time","Y","Vaster?s SK FK",1.85,"Bet Won"
42,7,2022-07-17 15:57:04,"YES","Halmstads BK - Utsiktens BK","Superettan","Over Under","Total Corners 14.5","Y","Over",1.83,"Bet Lost"
43,1,2022-07-17 14:48:58,"YES","AIK - Kalmar FF","Allsvenskan","Player Occurrence Line","To score 1","N","Guidetti, John - Yes",2.43,"Bet Lost"
44,1,2022-07-16 08:50:13,"YES","Djurg?rdens IF - IFK Varnamo","Allsvenskan","Asian Handicap","Asian Handicap -1.25","N","Djurg?rdens IF",1.9,"Bet Won"
45,1,2022-07-12 20:45:42,"YES","Landskrona BoIS - Halmstads BK","Superettan","Asian Handicap","Asian Handicap ({0} - {1}) 0.5","Y","Halmstads BK",3.65,"Bet Lost"
45,2,2022-07-12 20:48:30,"YES","Landskrona BoIS - Halmstads BK","Superettan","Three Way Handicap","3-Way Handicap -1","Y","Halmstads BK",4.5,"Bet Lost"
45,3,2022-07-17 13:41:07,"YES","IK Sirius FK - Degerfors IF","Allsvenskan","Three way 1x2","Full Time","N","IK Sirius FK",1.9,"Bet Won"
45,4,2022-07-17 16:42:53,"YES","IFK Goteborg - Mjallby AIF","Allsvenskan","Three way 1x2","Full Time","Y","IFK Goteborg",8.5,"Bet Lost"
46,1,2022-07-12 20:23:45,"YES","Landskrona BoIS - Halmstads BK","Superettan","Over Under","Total Goals - {0}:00-{1}:59 0.5","Y","Over",3.65,"Bet Won"
46,2,2022-07-12 20:46:39,"YES","Landskrona BoIS - Halmstads BK","Superettan","Over Under","Total Goals 3.5","Y","Over",2.7,"Bet Lost"
46,3,2022-07-16 15:06:18,"YES","IFK Norrkoping - Malmo FF","Allsvenskan","Over Under","Total Goals by Home Team 0.5","Y","Over",1.4,"Bet Lost"
47,1,2022-07-17 14:25:14,"YES","AIK - Kalmar FF","Allsvenskan","Over Under","Total Goals by Away Team 1.5","N","Over",4.5,"Bet Lost"
48,1,2022-07-12 20:13:19,"YES","Landskrona BoIS - Halmstads BK","Superettan","Over Under","Total Goals 1.5","Y","Over",1.21,"Bet Won"
49,1,2022-07-17 15:37:48,"YES","AIK - Kalmar FF","Allsvenskan","Over Under","Total Corners 9.5","Y","Over",2.15,"Bet Won"
49,2,2022-07-17 16:50:06,"YES","AIK - Kalmar FF","Allsvenskan","Over Under","Total Corners 9.5","Y","Over",3.2,"Bet Won"
50,1,2022-07-16 14:50:30,"YES","IFK Norrkoping - Malmo FF","Allsvenskan","Three way 1x2","Full Time","N","Malmo FF",2.05,"Bet Won"
50,2,2022-07-17 15:19:30,"YES","AIK - Kalmar FF","Allsvenskan","Asian Handicap","Asian Handicap ({0} - {1}) -0.5","Y","Kalmar FF",1.94,"Bet Lost"
51,1,2022-07-16 16:55:23,"YES","Djurg?rdens IF - IFK Varnamo","Allsvenskan","Three Way Handicap","3-Way Handicap -1","N","Djurg?rdens IF",2.02,"Bet Won"
52,1,2022-07-17 13:51:34,"YES","Halmstads BK - Utsiktens BK","Superettan","Occurrence To Happen","Both Teams To Score","N","Yes",1.82,"Bet Won"
53,1,2022-07-17 15:43:10,"YES","IFK Goteborg - Mjallby AIF","Allsvenskan","Race To Value","First To {0} Corners (Draw: Neither team)","Y","Mjallby AIF",3.7,"Bet Lost"
53,2,2022-07-17 15:44:12,"YES","IFK Goteborg - Mjallby AIF","Allsvenskan","Race To Value","First To {0} Corners (Draw: Neither team)","Y","Mjallby AIF",3.95,"Bet Lost"
54,1,2022-07-17 14:36:25,"YES","AIK - Kalmar FF","Allsvenskan","Asian Over/Under","Asian Total - 1st Half 1","N","Over",2.12,"Bet Won"
54,2,2022-07-17 14:36:57,"YES","AIK - Kalmar FF","Allsvenskan","Asian Handicap","Asian Handicap -1","N","AIK",2.63,"Bet Won"
54,3,2022-07-17 14:37:05,"YES","AIK - Kalmar FF","Allsvenskan","Three way 1x2","Full Time","N","AIK",1.85,"Bet Won"
55,1,2022-07-12 22:38:05,"YES","Allsvenskan 2022","Allsvenskan","Position","Season Finishing Position","N","Djurg?rdens IF",4,"Bet Won"
56,1,2022-07-16 14:39:42,"YES","IFK Norrkoping - Malmo FF","Allsvenskan","Head","Player's shots on target","N","Over 1.5",2.4,"Bet Lost"
56,2,2022-07-16 14:39:42,"YES","IFK Norrkoping - Malmo FF","Allsvenskan","Over/Under","Total Shots on Target by Home Team 4.5","N","Over",2.2,"Bet Lost"
56,3,2022-07-16 14:39:42,"YES","IFK Norrkoping - Malmo FF","Allsvenskan","Over/Under","Total Shots on Target by Away Team 5.5","N","Over",2.2,"Bet Lost"
57,1,2022-07-16 15:02:53,"YES","Dalkurd FF - Orebro SK","Superettan","Three way 1x2","Full Time","Y","Orebro SK",2.15,"Bet Won"
58,1,2022-07-11 22:38:25,"YES","Djurg?rdens IF - IFK Varnamo","Allsvenskan","Asian Handicap","Asian Handicap -1","N","Djurg?rdens IF",1.78,"Bet Won"
59,1,2022-07-12 19:03:31,"YES","Landskrona BoIS - Halmstads BK","Superettan","Asian Over/Under","Asian Total - 1st Half 1","Y","Over",1.92,"Bet Won"
59,2,2022-07-12 20:21:41,"YES","Landskrona BoIS - Halmstads BK","Superettan","Asian Over/Under","Asian Total 2","Y","Over",1.78,"Bet Won"
60,1,2022-07-17 12:21:30,"YES","IFK Goteborg - Mjallby AIF","Allsvenskan","Three way 1x2","Full Time","N","IFK Goteborg",2.3,"Bet Lost"
61,1,2022-07-16 17:17:13,"YES","Ostersunds FK - Osters IF","Superettan","Asian Handicap","Asian Handicap ({0} - {1}) 1","Y","Osters IF",2.25,"Bet Won"
62,1,2022-07-16 17:07:17,"YES","Ostersunds FK - Osters IF","Superettan","Over Under","Total Corners 11.5","Y","Over",2.05,"Bet Lost"
62,2,2022-07-17 12:56:53,"YES","Vaster?s SK FK - Landskrona BoIS","Superettan","Over Under","Total Corners 11.5","N","Over",2.5,"Bet Won"
63,1,2022-07-16 15:15:23,"YES","IFK Norrkoping - Malmo FF","Allsvenskan","Next Occurrence Number","Next Goal ({0}) (Draw: No More Goals)","Y","IFK Norrkoping",2.12,"Bet Lost"
63,2,2022-07-17 14:22:18,"YES","IFK Goteborg - Mjallby AIF","Allsvenskan","Three way 1x2","Full Time","N","Mjallby AIF",3.65,"Bet Won"
64,1,2022-07-16 14:37:52,"YES","IFK Norrkoping - Malmo FF","Allsvenskan","Over Under","Total Goals by Home Team 1.5","N","Over",2.85,"Bet Lost"
64,2,2022-07-16 15:33:57,"YES","IFK Norrkoping - Malmo FF","Allsvenskan","Over Under","Total Goals 2.5","Y","Over",1.73,"Bet Lost"
64,3,2022-07-16 17:35:38,"YES","Djurg?rdens IF - IFK Varnamo","Allsvenskan","Asian Over/Under","Asian Total 2.5","Y","Over",1.71,"Bet Won"
64,4,2022-07-16 18:24:09,"YES","Ostersunds FK - Osters IF","Superettan","Asian Over/Under","Asian Total 1.5","Y","Over",1.67,"Bet Won"
64,5,2022-07-17 15:11:55,"YES","Hammarby IF - IF Elfsborg","Allsvenskan","Asian Over/Under","Asian Total 3.5","Y","Over",1.7,"Bet Lost"
65,1,2022-07-16 18:24:16,"YES","Ostersunds FK - Osters IF","Superettan","Three way 1x2","Full Time","Y","Ostersunds FK",1.46,"Bet Won"
66,1,2022-07-12 19:59:01,"YES","Orebro SK - Trelleborgs FF","Superettan","Over Under","Total Goals by Home Team 2.5","Y","Over",4.7,"Bet Lost"
66,2,2022-07-15 22:31:09,"YES","IFK Norrkoping - Malmo FF","Allsvenskan","Asian Handicap","Asian Handicap 1","N","Malmo FF",3.5,"Bet Won"
67,1,2022-07-15 07:22:08,"YES","Djurg?rdens IF - IFK Varnamo","Allsvenskan","Three way 1x2","Full Time","N","Djurg?rdens IF",1.47,"Bet Won"
67,2,2022-07-16 20:03:27,"YES","AIK - Kalmar FF","Allsvenskan","Over Under","Total Goals 1.5","N","Over",1.4,"Bet Lost"
68,1,2022-07-16 00:50:48,"YES","Djurg?rdens IF - IFK Varnamo","Allsvenskan","Asian Handicap","Asian Handicap -1.5","N","Djurg?rdens IF",2.17,"Bet Won"
68,2,2022-07-17 14:38:58,"YES","AIK - Kalmar FF","Allsvenskan","Asian Handicap","Asian Handicap -1.5","N","AIK",3.5,"Bet Lost"
69,1,2022-07-17 15:07:12,"YES","AIK - Kalmar FF","Allsvenskan","Three way 1x2","Full Time","Y","AIK",1.7,"Bet Won"
70,1,2022-07-17 15:12:16,"YES","AIK - Kalmar FF","Allsvenskan","Over Under","Total Goals 3.5","Y","Under",1.16,"Bet Won"
71,1,2022-07-16 15:25:42,"YES","IFK Norrkoping - Malmo FF","Allsvenskan","Three Way Handicap","3-Way Handicap 2","Y","Malmo FF",5.25,"Bet Lost"
72,1,2022-07-17 15:41:28,"YES","AIK - Kalmar FF","Allsvenskan","Three way 1x2","Full Time","Y","Kalmar FF",14,"Bet Lost"
73,1,2022-07-17 13:55:00,"YES","AIK - Kalmar FF","Allsvenskan","Three way 1x2","Full Time","N","AIK",1.83,"Bet Won"
74,1,2022-07-16 14:52:52,"YES","IFK Norrkoping - Malmo FF","Allsvenskan","Over Under","Total Corners 10.5","N","Over",1.75,"Bet Won"
74,2,2022-07-16 17:33:10,"YES","Djurg?rdens IF - IFK Varnamo","Allsvenskan","Over Under","Total Corners 10.5","Y","Over",1.83,"Bet Won"
74,3,2022-07-17 14:29:45,"YES","Hammarby IF - IF Elfsborg","Allsvenskan","Over Under","Total Corners 11.5","N","Over",2,"Bet Lost"
75,1,2022-07-16 18:03:45,"YES","Ostersunds FK - Osters IF","Superettan","Three way 1x2","Full Time","Y","Osters IF",4.9,"Bet Lost"
75,2,2022-07-17 12:41:21,"YES","Vaster?s SK FK - Landskrona BoIS","Superettan","Asian Handicap","Asian Handicap 0","N","Landskrona BoIS",2.5,"Bet Lost"
76,1,2022-07-16 14:04:57,"YES","IFK Norrkoping - Malmo FF","Allsvenskan","Asian Handicap","Asian Handicap -1","N","IFK Norrkoping",6.4,"Bet Lost"
77,1,2022-07-12 20:43:50,"YES","Landskrona BoIS - Halmstads BK","Superettan","Over Under","Total Corners 11.5","Y","Over",4.2,"Bet Lost"
78,1,2022-07-17 13:00:20,"YES","Vaster?s SK FK - Landskrona BoIS","Superettan","Over Under","Total Goals - 1st Half 1.5","Y","Over",2.6,"Bet Lost"
79,1,2022-07-17 13:06:38,"YES","Vaster?s SK FK - Landskrona BoIS","Superettan","Over Under","Total Goals - 1st Half 1.5","Y","Over",2.9,"Bet Lost"
79,2,2022-07-17 13:07:29,"YES","Vaster?s SK FK - Landskrona BoIS","Superettan","Over Under","Total Corners 11.5","Y","Under",1.9,"Bet Won"
79,3,2022-07-17 13:10:12,"YES","Vaster?s SK FK - Landskrona BoIS","Superettan","Three way 1x2","Half Time","Y","Vaster?s SK FK",2.65,"Bet Won"
79,4,2022-07-17 13:25:21,"YES","Vaster?s SK FK - Landskrona BoIS","Superettan","Asian Over/Under","Asian Total 2.5","Y","Over",2.1,"Bet Won"
79,5,2022-07-17 13:54:34,"YES","Vaster?s SK FK - Landskrona BoIS","Superettan","Asian Handicap","Asian Handicap ({0} - {1}) -0.5","Y","Vaster?s SK FK",1.96,"Bet Won"
79,6,2022-07-17 14:42:04,"YES","IK Sirius FK - Degerfors IF","Allsvenskan","Three way 1x2","Full Time","N","X",4.4,"Bet Lost"
79,7,2022-07-17 14:42:34,"YES","AIK - Kalmar FF","Allsvenskan","Over Under","Total Corners by Away Team 5.5","N","Over",3.4,"Bet Won"
